Gene_id	dsc_1	dsc_3	dsc_5	dsc_7	dsc_9	msc_11	msc_12	msc_13	msc_14	msc_15
ENSG00000225630	656	793	584	641	773	1833	1412	2153	1959	1575
ENSG00000237973	499	518	442	481	2766	1525	1213	2442	2265	9761
ENSG00000278791	0	0	0	0	0	0	0	0	0	0
ENSG00000229344	39	82	27	16	163	634	192	587	663	416
ENSG00000240409	7	7	3	9	11	60	20	64	70	24
ENSG00000248527	3473	3961	2876	2947	2934	6897	6436	10700	10499	8874
ENSG00000198744	40	64	38	10	124	506	133	534	616	357
ENSG00000268663	0	0	0	0	0	0	0	0	0	0
ENSG00000284662	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	0	0	1	0	0	1	0	0	1
ENSG00000228327	11	31	22	30	16	16	16	20	26	18
ENSG00000223181	0	0	0	0	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0	0	0	0	0
ENSG00000237491	7	9	10	18	6	4	2	3	5	5
ENSG00000285268	0	0	0	0	0	0	0	0	0	0
ENSG00000230092	1	2	1	3	0	3	3	4	3	2
ENSG00000177757	5	2	4	2	2	0	2	1	0	1
ENSG00000228794	247	273	251	267	268	229	340	263	316	232
ENSG00000225880	2	4	5	3	1	13	2	5	10	2
ENSG00000230368	0	0	0	0	0	0	1	0	0	0
ENSG00000234711	0	1	0	0	0	0	1	0	1	0
ENSG00000283040	0	0	0	0	0	0	0	0	0	0
ENSG00000272438	0	1	0	2	0	0	1	2	0	0
ENSG00000230699	2	0	0	0	0	0	0	0	0	0
ENSG00000241180	0	0	0	0	0	0	0	0	0	0
ENSG00000223764	6	2	1	1	1	0	1	1	0	1
ENSG00000187634	26	10	0	2	1	0	2	0	2	0
ENSG00000188976	1517	1690	1732	1541	1715	2313	1921	1838	2084	1836
ENSG00000187961	159	309	273	301	211	315	230	245	292	331
ENSG00000187583	18	22	35	29	22	11	0	1	5	4
ENSG00000187642	0	0	0	1	0	8	8	1	1	1
ENSG00000272512	5	15	0	7	7	10	2	6	5	10
ENSG00000188290	77	144	66	58	100	350	228	274	298	184
ENSG00000187608	519	683	800	537	658	18566	3373	7424	17671	6094
ENSG00000231702	0	0	0	0	0	0	0	0	0	0
ENSG00000224969	2	1	2	2	1	7	1	3	15	3
ENSG00000188157	22987	39525	28660	25273	32834	11784	4093	6598	10000	8447
ENSG00000242590	0	0	0	0	0	0	0	0	0	0
ENSG00000217801	33	106	65	45	64	7	3	5	6	4
ENSG00000273443	5	6	3	7	3	0	0	0	0	0
ENSG00000237330	0	0	0	0	0	0	0	0	0	0
ENSG00000131591	294	347	354	314	359	265	210	225	227	272
ENSG00000285812	0	0	0	0	4	1	3	0	1	0
ENSG00000223823	0	0	0	0	0	0	0	0	0	0
ENSG00000207730	0	0	0	0	0	0	0	0	0	0
ENSG00000207607	0	0	0	0	0	0	0	0	0	0
ENSG00000198976	0	0	0	0	0	0	0	0	0	0
ENSG00000272141	1	0	0	1	0	0	0	0	0	0
ENSG00000205231	0	0	0	0	0	0	0	0	0	0
ENSG00000162571	0	0	0	0	0	0	0	0	0	0
ENSG00000186891	6	14	11	2	2	3	1	0	0	0
ENSG00000186827	0	0	2	0	1	0	2	0	0	0
ENSG00000078808	5100	5998	4902	4419	5274	4375	4177	4686	5113	4798
ENSG00000176022	1002	1221	1090	848	1173	780	792	944	789	707
ENSG00000184163	5	3	4	6	6	10	7	4	2	3
ENSG00000260179	1	7	4	0	1	7	8	2	2	2
ENSG00000160087	1067	1199	1236	1039	1184	988	1212	1107	923	992
ENSG00000230415	0	17	13	16	6	9	11	10	6	6
ENSG00000162572	52	105	89	136	70	56	60	44	48	36
ENSG00000131584	1802	3103	2713	2709	2332	1053	640	1232	1117	1302
ENSG00000278073	0	0	0	0	0	0	0	0	0	0
ENSG00000169972	241	244	271	244	243	152	99	157	156	169
ENSG00000127054	1376	1879	1745	1526	1655	1730	1554	1898	1730	1849
ENSG00000283712	0	0	0	0	0	0	0	0	0	0
ENSG00000240731	22	19	15	39	30	17	10	12	17	12
ENSG00000224051	613	694	677	497	695	781	876	966	858	822
ENSG00000169962	13	32	27	27	30	14	24	12	8	3
ENSG00000107404	1513	1923	1829	1339	1866	1416	1381	1804	1529	1796
ENSG00000284372	0	0	0	0	0	0	0	0	0	0
ENSG00000162576	8180	10893	9487	5969	7742	137	216	126	65	53
ENSG00000175756	1020	998	1108	796	1103	1610	1579	1808	1557	1582
ENSG00000223663	0	0	0	0	1	0	0	0	0	0
ENSG00000221978	619	1015	978	1088	802	1079	874	798	1302	919
ENSG00000224870	208	293	261	248	299	248	382	466	341	305
ENSG00000242485	593	688	676	569	621	842	871	1085	933	831
ENSG00000264293	0	0	0	0	0	0	0	0	0	0
ENSG00000272455	18	26	15	15	12	56	99	35	27	25
ENSG00000235098	19	30	31	68	40	25	33	37	74	43
ENSG00000225905	1	1	0	5	1	1	0	7	6	2
ENSG00000205116	0	2	0	0	0	0	0	0	0	1
ENSG00000225285	3	9	3	11	7	4	0	0	0	0
ENSG00000179403	1143	3095	1624	1483	2191	230	238	251	237	537
ENSG00000215915	3	11	3	13	12	1	5	0	1	0
ENSG00000160072	310	320	329	335	297	745	294	224	358	354
ENSG00000284740	2	6	0	1	6	5	6	13	4	10
ENSG00000197785	670	680	830	463	695	944	776	765	573	867
ENSG00000205090	45	103	47	40	79	39	20	72	59	83
ENSG00000160075	1655	2076	1906	1566	2042	5101	7542	5610	3805	4858
ENSG00000215014	7	8	3	8	9	205	513	132	44	83
ENSG00000274481	0	0	0	0	0	0	0	0	0	0
ENSG00000228594	192	221	162	109	184	1248	2086	2662	1655	2060
ENSG00000286989	0	1	3	5	1	13	31	66	38	50
ENSG00000272106	79	149	111	160	130	93	161	347	163	151
ENSG00000197530	680	855	724	831	787	973	868	1220	1119	1248
ENSG00000189409	0	0	2	0	0	2	1	0	0	0
ENSG00000248333	487	694	682	683	660	723	739	861	829	677
ENSG00000272004	0	1	1	0	2	0	0	0	2	0
ENSG00000189339	801	2219	1554	2033	1799	1010	1853	3526	2659	3036
ENSG00000269737	7	18	22	22	11	17	14	7	14	15
ENSG00000215914	0	1	3	1	2	1	8	5	2	4
ENSG00000008128	43	66	75	65	71	54	93	69	68	64
ENSG00000268575	25	53	46	41	44	23	86	91	49	89
ENSG00000227775	0	1	1	2	1	1	3	4	2	3
ENSG00000215790	768	318	600	173	300	912	849	650	243	443
ENSG00000008130	776	1013	998	943	950	2169	2467	2705	2405	2234
ENSG00000078369	11571	13469	13684	11187	13434	13896	13129	15546	15550	13626
ENSG00000231050	8	10	6	5	1	8	13	12	8	6
ENSG00000169885	5	4	2	4	2	3	4	3	2	1
ENSG00000178821	18	27	22	12	17	6	21	12	7	7
ENSG00000142609	1	1	0	1	0	1	1	0	0	0
ENSG00000233542	0	0	0	0	0	0	0	0	0	0
ENSG00000187730	0	0	0	0	0	0	0	0	0	0
ENSG00000226969	0	0	0	0	0	0	0	0	0	0
ENSG00000067606	96	98	113	96	99	43	55	42	57	82
ENSG00000271806	1	2	0	1	0	0	1	0	0	1
ENSG00000182873	55	100	66	89	102	22	46	18	11	14
ENSG00000162585	1069	1065	1083	933	1097	1157	1222	1513	1333	1257
ENSG00000234396	0	0	0	0	0	0	0	0	0	0
ENSG00000157933	3721	4642	4999	4327	4537	2528	1622	2354	2134	2382
ENSG00000287356	15	22	13	20	17	48	56	32	16	14
ENSG00000116151	61	91	64	69	74	159	166	167	116	103
ENSG00000272161	0	0	0	0	0	0	0	0	0	0
ENSG00000269896	28	34	23	30	17	87	31	43	19	21
ENSG00000272420	2	4	3	7	1	2	6	1	4	4
ENSG00000157916	2015	2227	2111	1754	2076	2463	2737	2841	2704	2398
ENSG00000157911	716	855	733	563	836	685	549	825	799	825
ENSG00000149527	5	1	2	6	0	14	23	1	2	4
ENSG00000224387	0	0	1	0	0	0	0	0	0	0
ENSG00000229393	1	0	0	0	0	1	0	1	0	0
ENSG00000157881	534	634	676	564	646	832	830	975	796	872
ENSG00000197921	0	0	5	5	1	1	5	7	3	3
ENSG00000272449	20	31	17	14	30	112	153	349	122	182
ENSG00000238164	45	47	37	21	30	343	447	295	186	197
ENSG00000157873	661	924	915	847	820	5093	4816	8360	7213	8837
ENSG00000225931	2	1	3	2	3	50	29	22	14	8
ENSG00000228037	3	3	5	4	0	66	96	13	5	0
ENSG00000157870	1235	1540	1506	1088	1430	1508	1434	2359	2044	2553
ENSG00000142606	8	20	6	6	9	8	18	19	11	7
ENSG00000237058	0	0	0	0	0	0	0	0	0	0
ENSG00000215912	5	8	12	10	6	12	13	11	8	8
ENSG00000285945	0	0	0	0	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0	0	0	0	0
ENSG00000287396	0	0	0	0	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	0	0	0	0	0	0
ENSG00000284745	2	0	0	0	1	0	0	0	0	0
ENSG00000169717	0	0	0	0	0	0	0	0	0	0
ENSG00000177133	106	260	156	157	137	1	0	0	0	0
ENSG00000142611	885	1573	1247	1294	1068	8	7	8	4	10
ENSG00000283572	0	0	0	0	0	0	0	0	0	0
ENSG00000226286	0	1	3	0	2	0	0	0	0	0
ENSG00000279839	0	2	0	0	0	0	0	0	0	0
ENSG00000272235	39	37	37	35	24	1	5	0	0	0
ENSG00000287828	20	22	34	16	22	2	2	0	2	0
ENSG00000286518	3	2	0	4	2	0	0	0	0	0
ENSG00000130762	43	48	70	67	76	7	2	0	1	2
ENSG00000272088	0	0	0	0	0	1	0	0	0	0
ENSG00000162591	101	50	32	46	80	122	18	24	64	88
ENSG00000207776	0	0	0	0	0	0	0	0	0	0
ENSG00000238260	1	0	0	1	0	0	0	0	0	1
ENSG00000158109	994	927	977	759	887	1244	2002	2406	1682	1738
ENSG00000116213	242	336	365	321	334	373	375	337	342	348
ENSG00000078900	1	9	2	4	5	11	5	1	0	1
ENSG00000227589	0	0	0	0	0	0	0	0	0	0
ENSG00000235131	0	0	0	0	0	0	0	0	0	0
ENSG00000227372	545	904	749	723	868	540	672	680	615	589
ENSG00000276189	0	0	0	0	0	0	0	0	0	0
ENSG00000162592	0	0	0	0	1	2	4	0	0	2
ENSG00000235169	26	43	18	14	29	29	99	160	124	81
ENSG00000130764	870	962	913	880	1123	1376	1482	1680	1478	1366
ENSG00000266075	2	2	1	0	2	0	1	4	3	2
ENSG00000272153	5	11	10	11	3	6	10	7	10	14
ENSG00000116198	852	814	1033	842	1000	1113	1340	1262	1264	1178
ENSG00000169598	124	170	138	146	132	159	170	156	95	156
ENSG00000198912	321	367	380	287	362	407	379	329	307	249
ENSG00000236423	4	6	7	9	10	14	12	14	17	19
ENSG00000233304	0	0	0	0	0	1	2	0	0	0
ENSG00000226374	0	0	0	0	0	0	0	0	0	0
ENSG00000284668	0	0	0	0	0	0	0	0	0	0
ENSG00000284703	0	0	0	0	0	0	0	0	0	0
ENSG00000229280	0	0	0	0	2	0	0	2	0	0
ENSG00000235054	1	0	0	1	0	1	1	2	1	1
ENSG00000284694	0	0	0	0	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0	0	0	0	0
ENSG00000232596	0	0	0	0	0	0	0	0	0	0
ENSG00000196581	91	124	34	57	89	0	0	0	0	0
ENSG00000287586	1	0	0	0	0	0	0	0	0	0
ENSG00000284739	0	0	0	0	0	0	0	0	0	0
ENSG00000284674	0	0	1	0	0	0	0	0	0	0
ENSG00000231510	0	0	0	0	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0	0	0	0	0
ENSG00000284692	0	0	0	1	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0	0	0
ENSG00000236948	0	0	0	0	0	0	0	0	0	0
ENSG00000264341	0	0	0	0	0	0	0	0	0	0
ENSG00000264101	0	0	0	0	0	1	0	0	0	0
ENSG00000131697	328	423	245	328	347	651	332	593	604	612
ENSG00000069424	237	373	299	283	252	24110	30678	30533	32252	30487
ENSG00000116254	6	3	3	7	4	2	2	1	2	2
ENSG00000285629	0	0	0	0	0	0	0	1	0	0
ENSG00000116251	1209	1454	1256	1169	1222	1158	1766	1926	1744	1638
ENSG00000226944	0	2	0	0	3	6	27	27	23	53
ENSG00000158286	11	32	22	20	27	118	96	104	150	141
ENSG00000116237	2750	3296	3315	2790	2879	4605	4394	3939	4554	3453
ENSG00000225077	2	3	11	6	0	28	76	32	57	39
ENSG00000173673	0	0	0	0	0	2	2	1	2	0
ENSG00000158292	1073	2009	1286	958	1550	376	1052	795	585	977
ENSG00000097021	1408	1733	1799	1398	1576	5442	2734	3944	5151	3704
ENSG00000271746	0	0	0	0	0	0	0	0	0	0
ENSG00000069812	8	7	11	5	4	8	69	12	15	2
ENSG00000187017	27	63	27	32	75	4	30	74	24	67
ENSG00000265392	0	0	0	0	0	0	0	0	0	0
ENSG00000231868	0	0	0	0	0	0	0	0	0	0
ENSG00000215788	12	35	19	26	24	2	4	3	7	5
ENSG00000171680	131	198	125	120	229	80	89	92	113	212
ENSG00000162408	347	329	362	362	390	342	472	370	250	327
ENSG00000253022	0	0	0	0	0	0	0	0	0	0
ENSG00000229519	2	1	4	3	2	3	2	0	1	1
ENSG00000173662	2	0	0	1	0	0	3	0	0	3
ENSG00000204859	170	244	239	265	216	250	250	319	268	285
ENSG00000162413	1428	1459	1393	1266	1932	2110	5052	4950	2676	3189
ENSG00000116273	583	843	661	543	738	539	691	962	566	570
ENSG00000041988	250	271	282	272	324	205	357	339	348	342
ENSG00000007923	700	769	809	797	767	1459	1294	1296	1368	1126
ENSG00000228750	0	0	0	0	0	0	0	0	0	0
ENSG00000284744	0	0	0	0	0	0	0	0	0	0
ENSG00000237436	2	1	3	1	4	2	8	5	7	5
ENSG00000171735	682	795	777	692	769	674	833	1272	1143	1038
ENSG00000227950	0	0	0	0	0	0	0	0	0	0
ENSG00000237365	0	0	0	0	0	0	0	0	0	0
ENSG00000207056	0	0	0	0	0	0	0	0	0	0
ENSG00000237402	0	1	0	0	0	0	0	1	2	1
ENSG00000237728	0	0	0	1	0	0	0	0	0	0
ENSG00000225126	0	4	0	0	0	0	0	0	0	0
ENSG00000270171	2	3	6	6	0	0	0	0	0	0
ENSG00000270035	0	8	5	5	3	0	0	0	2	1
ENSG00000269978	0	6	2	5	2	1	1	0	0	0
ENSG00000049245	3067	3479	3498	2934	3706	3820	4333	4809	5233	4355
ENSG00000269925	12	8	9	8	7	2	9	6	3	3
ENSG00000049246	861	1267	610	579	646	708	835	855	1092	1292
ENSG00000236266	2	0	1	4	3	4	10	4	7	3
ENSG00000049247	0	0	0	0	0	8	65	10	2	0
ENSG00000049249	4	2	10	4	1	0	0	0	0	0
ENSG00000270330	0	0	0	0	0	0	0	0	0	0
ENSG00000116288	2611	2466	2638	2373	2883	3497	3950	4496	4704	3525
ENSG00000200344	0	0	0	0	0	0	0	0	0	0
ENSG00000284747	0	12	8	5	6	5	5	3	1	3
ENSG00000284716	0	0	0	0	0	3	2	2	0	0
ENSG00000116285	478	333	319	208	264	246	195	179	105	126
ENSG00000238290	0	0	1	0	2	0	4	1	0	0
ENSG00000232848	1	0	0	0	0	1	0	1	3	0
ENSG00000229305	0	0	0	0	0	0	0	0	0	0
ENSG00000227634	0	0	0	0	0	0	0	0	0	0
ENSG00000200975	0	0	0	0	0	0	0	0	0	0
ENSG00000233645	0	0	0	0	0	0	0	0	0	0
ENSG00000251977	0	0	0	0	0	0	0	0	0	0
ENSG00000162426	27	66	30	27	58	5	8	16	14	20
ENSG00000252254	0	0	1	0	0	0	0	0	0	0
ENSG00000142599	2202	2983	2450	2584	2336	2222	1679	2439	2293	2736
ENSG00000232912	0	1	0	1	1	0	0	0	0	0
ENSG00000221083	0	0	0	0	0	0	0	0	0	0
ENSG00000270282	0	0	0	0	0	0	0	0	0	0
ENSG00000234619	2	2	0	1	1	5	2	1	3	1
ENSG00000224315	0	0	0	0	4	3	0	4	1	1
ENSG00000222511	0	0	0	0	0	0	0	0	0	0
ENSG00000226545	0	0	0	0	0	0	0	0	0	0
ENSG00000228423	0	0	0	0	0	0	0	0	0	0
ENSG00000229716	0	0	0	0	0	0	0	0	0	0
ENSG00000074800	13757	12897	14660	11824	15186	21604	19267	14416	16209	14724
ENSG00000274258	0	0	0	0	1	0	0	0	0	0
ENSG00000230679	0	2	1	1	1	0	1	1	5	0
ENSG00000201725	0	0	0	0	0	0	0	0	0	0
ENSG00000238249	0	0	0	0	0	2	2	0	2	0
ENSG00000232208	0	0	1	0	0	1	0	2	2	2
ENSG00000232663	0	0	0	0	0	0	0	0	0	0
ENSG00000131686	0	0	0	0	0	0	0	0	0	0
ENSG00000265141	0	0	0	0	0	0	0	0	0	0
ENSG00000197241	0	0	0	0	0	0	0	0	0	0
ENSG00000142583	0	0	0	2	5	5	5	0	9	0
ENSG00000252404	0	0	0	0	0	0	0	0	0	0
ENSG00000180758	83	99	83	65	100	178	354	208	222	188
ENSG00000228526	92	140	193	195	134	209	183	188	209	231
ENSG00000284357	0	0	0	0	0	0	0	0	0	0
ENSG00000234546	109	46	59	90	48	66	109	101	57	62
ENSG00000049239	2044	2734	3566	2471	2778	1048	1565	1351	1403	1450
ENSG00000171621	376	259	233	154	230	1972	1541	2114	2502	2752
ENSG00000284652	21	29	27	18	24	16	115	44	22	24
ENSG00000284693	69	117	88	95	125	93	229	212	196	169
ENSG00000252956	0	0	0	0	0	0	0	0	0	0
ENSG00000235263	0	0	0	0	0	1	0	2	0	0
ENSG00000171612	222	209	225	163	230	459	570	439	383	307
ENSG00000231181	1	0	2	0	4	8	1	0	1	1
ENSG00000188807	644	915	848	722	839	1538	1362	1305	1140	1000
ENSG00000171608	1018	941	1105	646	808	4808	5240	4248	5507	5760
ENSG00000179840	0	0	0	0	0	0	1	0	0	0
ENSG00000233268	0	0	0	0	0	0	0	0	0	0
ENSG00000231789	98	102	89	91	139	298	557	604	525	540
ENSG00000171603	19485	24379	24840	22294	24232	7745	7282	11277	8808	10816
ENSG00000271264	0	0	0	0	0	0	0	0	0	0
ENSG00000280113	0	0	0	1	0	0	0	0	0	1
ENSG00000178585	752	842	905	706	729	572	803	1454	738	791
ENSG00000223989	0	0	0	0	0	0	0	0	0	0
ENSG00000285701	0	1	0	0	0	0	0	0	0	0
ENSG00000162441	1061	1227	1133	1061	1262	840	746	869	981	753
ENSG00000228150	5	2	5	3	2	1	3	5	7	2
ENSG00000173614	278	270	240	228	254	262	377	369	332	301
ENSG00000202415	2	4	1	1	1	0	0	0	1	1
ENSG00000283611	0	0	0	0	0	0	0	0	0	0
ENSG00000265521	0	0	0	0	0	0	0	0	0	0
ENSG00000241326	0	0	0	0	0	0	0	0	0	0
ENSG00000162444	3	4	5	8	3	8	13	22	23	29
ENSG00000130939	1666	2103	2058	1848	1980	1294	1481	1994	1461	1896
ENSG00000224340	0	0	0	0	0	0	0	0	0	0
ENSG00000233623	0	0	0	0	0	0	0	0	1	0
ENSG00000201746	0	0	0	0	0	0	0	0	0	0
ENSG00000054523	2047	2307	2456	2310	2315	1911	1890	1634	1728	1729
ENSG00000264881	0	0	0	0	0	0	0	0	0	0
ENSG00000199562	0	0	0	0	0	0	0	0	0	0
ENSG00000264501	0	0	0	0	0	0	0	0	0	0
ENSG00000284735	0	4	5	5	0	3	0	1	2	2
ENSG00000284642	3	3	6	9	1	5	9	2	8	4
ENSG00000142657	5846	5233	5738	4627	6033	5787	7436	6600	7823	8461
ENSG00000271989	0	0	1	0	1	0	0	0	1	0
ENSG00000251503	1	2	0	4	3	0	2	5	0	4
ENSG00000175279	22	25	26	13	31	66	36	41	50	34
ENSG00000241563	0	3	0	2	0	4	3	3	2	7
ENSG00000160049	1079	1261	1132	1028	1231	1270	1573	1648	1333	1396
ENSG00000203469	0	0	0	0	0	0	0	0	0	0
ENSG00000142655	383	451	447	359	483	779	774	965	859	790
ENSG00000287727	0	0	1	0	0	0	0	1	0	0
ENSG00000243267	0	0	0	0	0	0	0	0	1	0
ENSG00000130940	12	22	65	27	41	2	0	0	2	0
ENSG00000272078	3	7	6	4	10	0	0	1	0	0
ENSG00000225158	0	0	0	0	0	0	0	0	0	0
ENSG00000175262	0	0	2	0	0	11	7	8	9	5
ENSG00000215785	0	0	0	0	1	0	0	0	0	0
ENSG00000120948	1435	1531	1854	1556	1686	1666	1492	1427	1618	1221
ENSG00000277726	0	0	0	0	1	2	0	0	0	0
ENSG00000009724	9	14	21	21	9	24	7	5	17	16
ENSG00000271895	4	19	9	19	10	5	5	9	14	14
ENSG00000116649	2030	1858	1639	1370	1606	3013	2540	2577	2605	2487
ENSG00000171824	1739	2336	2307	2292	2229	2525	1969	1969	2275	1816
ENSG00000226849	4	3	2	2	0	0	2	0	0	1
ENSG00000230337	9	7	15	10	9	3	16	15	9	4
ENSG00000198793	1632	2001	2177	2100	1929	3200	2627	3182	3157	3298
ENSG00000225602	0	0	0	0	0	0	0	0	0	0
ENSG00000253086	0	0	0	0	0	0	0	0	0	0
ENSG00000171819	468	873	345	556	398	0	4	33	9	23
ENSG00000207451	0	0	0	0	0	0	0	0	0	0
ENSG00000238173	0	2	0	0	6	6	2	7	7	3
ENSG00000120942	522	695	586	500	686	634	469	648	638	709
ENSG00000238199	0	0	0	0	2	2	1	1	3	0
ENSG00000284646	1	1	0	6	0	2	1	1	3	2
ENSG00000224338	0	0	0	0	0	0	0	0	0	0
ENSG00000204624	13	36	14	30	29	4	2	1	8	3
ENSG00000285833	0	0	0	0	0	0	0	0	0	0
ENSG00000235643	0	0	0	0	0	0	0	0	0	0
ENSG00000284708	0	1	0	0	0	0	0	3	1	0
ENSG00000116661	15	31	6	14	15	378	633	997	745	548
ENSG00000132879	381	521	418	419	458	1007	951	1278	1113	894
ENSG00000116663	90	97	67	57	86	577	392	422	767	519
ENSG00000116670	577	908	646	526	792	582	545	630	744	615
ENSG00000162490	437	1255	209	153	454	5	10	4	3	5
ENSG00000177674	586	689	646	502	574	1432	1224	1280	2012	1420
ENSG00000215910	0	0	1	0	1	2	4	1	1	0
ENSG00000177553	0	0	0	0	0	0	0	0	0	0
ENSG00000177000	553	824	675	750	726	1155	1909	1586	1395	1792
ENSG00000011021	1121	1380	1399	835	1903	1044	894	1187	864	1809
ENSG00000276470	0	0	0	0	0	0	0	0	0	0
ENSG00000278852	0	0	0	0	0	0	0	0	0	0
ENSG00000175206	1	1	1	2	1	4	0	2	4	6
ENSG00000275915	0	0	0	0	0	0	0	0	0	0
ENSG00000120937	0	0	0	0	0	0	0	1	0	0
ENSG00000224904	0	0	0	0	1	0	0	1	0	1
ENSG00000285646	6	13	8	13	12	5	13	6	16	2
ENSG00000199347	0	0	0	0	0	0	0	0	0	0
ENSG00000201801	2	0	0	0	0	0	0	0	0	0
ENSG00000116685	1472	1640	1579	1335	1643	1715	2201	1983	1905	1890
ENSG00000083444	18312	25774	23429	16775	17028	9281	6541	6045	9598	8315
ENSG00000287384	1	1	1	1	1	3	3	0	0	1
ENSG00000116688	1881	1970	2071	1736	2041	3419	3388	3637	3537	3206
ENSG00000270914	0	0	0	0	0	0	0	0	0	0
ENSG00000116691	240	293	302	277	302	473	420	410	660	541
ENSG00000202461	0	0	0	2	0	2	0	0	0	0
ENSG00000276869	0	0	0	0	0	0	0	0	0	0
ENSG00000243539	0	0	0	0	0	0	0	0	0	0
ENSG00000120949	0	1	0	0	0	1	0	0	0	0
ENSG00000201135	0	0	0	0	0	0	0	0	0	0
ENSG00000227875	0	0	0	0	0	0	0	0	0	0
ENSG00000285604	0	0	0	0	0	0	0	0	0	0
ENSG00000283789	0	0	0	0	0	0	0	0	0	0
ENSG00000028137	18	5	16	8	6	187	286	80	38	17
ENSG00000263676	0	0	0	0	0	0	0	0	0	0
ENSG00000225196	0	0	0	0	0	0	0	0	0	0
ENSG00000252969	0	0	0	0	0	0	0	0	0	0
ENSG00000048707	1006	1271	1209	1572	1153	1228	939	1247	1085	1193
ENSG00000239149	1	0	0	2	0	1	0	0	0	0
ENSG00000229484	1	0	0	0	0	0	0	0	0	0
ENSG00000162496	100	82	115	242	205	583	22	27	577	420
ENSG00000221340	0	0	0	0	0	0	0	0	0	1
ENSG00000276830	0	0	0	0	0	0	0	0	0	0
ENSG00000272482	3	4	2	6	1	5	0	0	1	0
ENSG00000204518	0	0	0	0	0	2	0	0	0	0
ENSG00000226166	0	0	0	0	0	0	0	0	0	0
ENSG00000188984	0	0	0	0	0	0	0	0	0	0
ENSG00000157330	0	0	0	0	0	0	0	0	1	0
ENSG00000116726	0	0	0	0	0	1	0	0	0	0
ENSG00000116721	0	0	0	0	0	0	0	0	0	0
ENSG00000228338	0	0	0	0	0	0	0	0	0	0
ENSG00000239810	0	0	0	0	0	0	0	0	0	0
ENSG00000231103	0	0	0	0	0	0	0	0	0	0
ENSG00000179172	0	2	3	0	2	6	1	4	8	5
ENSG00000120952	0	0	0	0	0	0	0	0	0	0
ENSG00000243073	0	0	0	0	0	0	0	0	0	0
ENSG00000187545	0	0	0	0	0	0	0	0	0	0
ENSG00000204510	0	0	0	0	0	0	0	0	0	0
ENSG00000207434	0	0	0	0	0	0	0	0	0	0
ENSG00000234064	0	0	0	0	0	0	0	0	0	0
ENSG00000232423	0	0	0	0	0	0	0	0	0	0
ENSG00000274178	0	0	0	0	0	0	0	0	0	0
ENSG00000274764	0	0	0	0	0	0	0	0	0	0
ENSG00000277058	0	0	0	0	2	0	0	1	0	0
ENSG00000229571	0	0	0	0	0	0	0	0	0	0
ENSG00000277862	0	0	0	0	0	0	0	0	0	0
